id_jogo,status,palavra_final,rank_final,tentativas_totais,tempo_total_s,tentativas_exploracao,tentativas_otimizacao
1,SUCESSO,universidade,0,79,27.74,46,33
2,SUCESSO,apartamento,0,17,5.3,1,16
3,SUCESSO,comprar,0,261,96.56,17,244
4,SUCESSO,livro,0,41,15.27,33,8
5,FALHA,subconjunto,13,407,130.84,1,406
6,FALHA,entrar,3,406,129.13,1,405
7,FALHA,brasileiro,65,403,124.16,168,235
8,SUCESSO,computador,0,17,5.91,1,16
9,FALHA,biologia,1,406,131.67,9,397
10,SUCESSO,lindo,0,304,97.52,9,295
11,SUCESSO,carro,0,85,26.91,9,76
12,SUCESSO,médico,0,41,11.69,25,16
13,SUCESSO,céu,0,49,13.5,1,48
14,FALHA,apartamento,7,407,127.17,1,406
15,FALHA,objeto,30,401,122.43,1,400
16,FALHA,colocar,16,405,118.93,1,404
17,SUCESSO,ponte,0,146,43.43,24,122
18,SUCESSO,teclado,0,57,16.39,9,48
19,SUCESSO,limonada,0,97,29.79,72,25
